Order No,Date,Item Name,Image URL,Qty,Payment Type,Customisation,Order Total
"1390","10 May 2026","Baby Pingu The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-11.webp?v=1777654577","1","Prepaid","Engraving Name: Sonika | Engraving Font: Playful","₹1,299"
"1389","10 May 2026","Zoobees The Spec Keeper — Carved Wooden Eyeglass Stand — Light Bear","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Panda-eye-stand.png?v=1777415399","1","Prepaid","Engraving Name: Trinabh | Engraving Font: Classic","₹999"
"1388","10 May 2026","PikaBoo The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-08.webp?v=1777654577","1","COD","Engraving Name: Shivam | Engraving Font: Elegant","₹1,800"
"1387","09 May 2026","Chimpie The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-09.webp?v=1777654577","1","COD","Engraving Name: Rahul | Engraving Font: Playful","₹1,389"
"1386","09 May 2026","MooMoo The Spec Keeper — Carved Wooden Eyeglass Stand","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-06.webp?v=1777654577","1","Prepaid","Engraving Name: Deekshita | Engraving Font: Playful","₹1,500"
"1385","09 May 2026","Napster Sloth The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-03.webp?v=1777654577","1","Prepaid","Engraving Name: NoMo look for Me 😎 | Engraving Font: Script","₹1,499"
"1384","09 May 2026","Baby Pingu The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-11.webp?v=1777654577","1","Prepaid","Engraving Name: Shreyas | Engraving Font: Playful","₹1,389"
"1383","08 May 2026","Pookie Panda The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-01.webp?v=1777654578","1","Prepaid","","₹999"
"1382","07 May 2026","Baby Pingu The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-11.webp?v=1777654577","1","Prepaid","Engraving Name: Arsheen  | Engraving Font: Script","₹1,299"
"1381","07 May 2026","Chimpie The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-09.webp?v=1777654577","1","COD","Engraving Font: Classic","₹1,299"
"1380","05 May 2026","Chimpie The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-09.webp?v=1777654577","1","COD","Engraving Name: Nitish | Engraving Font: Script","₹1,369"
"1379","04 May 2026","Baby Pingu The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-11.webp?v=1777654577","1","COD","Engraving Name: Shivanshi | Engraving Font: Script","₹4,168"
"1379","04 May 2026","Uncle Panda The Spec Keeper — Carved Wooden Eyeglass Stand","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-07.webp?v=1777654577","1","COD","Engraving Name: Aditya | Engraving Font: Script","₹4,168"
"1379","04 May 2026","MooMoo The Spec Keeper — Carved Wooden Eyeglass Stand","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-06.webp?v=1777654577","1","COD","Engraving Name: Swetha | Engraving Font: Script","₹4,168"
"1378","04 May 2026","Chimpie The Spec Keeper — Carved Wooden Eyeglass Stand for Desk, Gifting","https://cdn.shopify.com/s/files/1/0669/2939/3750/files/Eye-Glass-stand-09.webp?v=1777654577","1","Prepaid","Engraving Name: Ashutosh-Test | Engraving Font: Bold Block","₹1,369"
